batch,document,status
ocmw_tervuren-MULTI- BATCH 35999,1,Ready
gem_koksijde-MULTI- BATCH 556756,3,Ready
ocmw_willebroek-05- BATCH 527663,10,Ready
comp_oostrozebeke-MULTI- BATCH 3 4/1/2022 8:43:10 AM,1,Ready
prov_wvlaanderen-05- BATCH 52766,2,Ready
stad_geel-02- BATCH 7292309,5,Ready
gem_bonheiden-MULTI- BATCH 57750,5,Ready
gem_depinte-MULTI- BATCH 5775009,1,Ready
ocmw_affligem-MULTI- BATCH 57750,1,Ready
ocmw_asse-MULTI- BATCH 5775013,4,Ready
agbp_sinttruiden-04- BATCH 73434,2,Ready
ocmw_boortmeerbeek-MULTI- BATCH,1,Ready
ocmw_damme-MULTI- BATCH 5775019,6,Ready
agb_tielt-MULTI- BATCH 3602813,6,Ready
gem_wemmel-MULTI- BATCH 3474316,4,Ready
gem_wevelgem-MULTI- BATCH 347431,2,Ready
ocmw_maaseik-03- BATCH 8768224,11,Ready
stad_maaseik-03- BATCH 8768235,5,Ready
gem_geetbets-MULTI- BATCH 480107,3,Ready
ocmw_hemiksem-MULTI- BATCH 48010,4,Ready
gem_galmaarden-MULTI- BATCH 4801,4,Ready
ocmw_pittem-MULTI- BATCH 3662856,1,Ready
zorg_opcura-MULTI- BATCH 3662858,5,Ready
stad_lommel-03- BATCH 8768237,6,Ready
agb_kapellen-03- BATCH 8768239,1,Ready
ocmw_overijse-03- BATCH 8768243,1,Ready
gem_kapellen-03- BATCH 8768261,9,Ready
ocmw_aalst-01- BATCH 8001276,5,Ready
agb_beerse-01- BATCH 8001278,2,Ready
ocmw_beerse-01- BATCH 8001280,4,Ready
stad_aalst-01- BATCH 8001286,4,Ready
pol_mechelen-04- BATCH 7343538,8,Ready
agb_bornem-MULTI- BATCH 5775081,3,Ready
gem_begijnendijk-MULTI- BATCH 57,5,Ready
ocmw_beerse-01- BATCH 8001293,13,Ready
ocmw_hulshout-02- BATCH 7292417,2,Ready
ocmw_herentals-02- BATCH 7292421,4,Ready
gem_heusden_zolder-MULTI- BATCH 4/1/2022 9:03:09 AM,3,Ready
gem_malle-03- BATCH 8768384,1,Ready
gem_wingene-05- BATCH 5276803,16,Ready
ocmw_zoersel-05- BATCH 5276805,1,Ready
stad_borgloon-MULTI- BATCH 57752,3,Ready
gem_deerlijk-MULTI- BATCH 577521,2,Ready
ocmw_deerlijk-MULTI- BATCH 57752,1,Ready
gem_drogenbos-MULTI- BATCH 57752,1,Ready
comp_sint_martens_latem-MULTI- B 4/1/2022 9:04:10 AM,1,Ready
stad_tongeren-MULTI- BATCH 36029,15,Ready
gem_wervik-MULTI- BATCH 3474358,9,Ready
ocmw_nijlen-03- BATCH 8768451,2,Ready
agb_ieper-MULTI- BATCH 4801094,1,Ready
gem_kalmthout-MULTI- BATCH 55729,10,Ready
gem_asse-MULTI- BATCH 5775231,6,Ready
