name,price,region
Exclusive Former Well-Crafted Wine-Growing Home,"€850,000",Poitou-Charentes
T4 of 63 m² on the Top Floor - Parking,"€190,000",Rhône-Alpes
Upstairs House,"€74,200",Poitou-Charentes
T2 Apartment 41m² with Terrace in St Priest Center,"€183,750",Rhône-Alpes
34 Cap D Agde 2 Bedroom Duplex Apartment,"€185,000",Languedoc-Roussillon
For Sale a Plot of 380m² Bron Center,"€249,600",Rhône-Alpes
Studio Sablet (84110),"€140,000",Provence-Alpes-Côte d'Azur
Country House 137m² Living Space,"€183,750",Poitou-Charentes
Farming Lands,"€96,000",Limousin
Unique Et Romantic Village Home,"€445,000",Midi-Pyrénées
Country House with its Outbuildings,"€41,500",Limousin
Magnificent Stone Village House with Exterior,"€250,000",Languedoc-Roussillon
"3 Bedroom Character for Sale Hautes-Pyrenees, St Lezer, France","€338,000",Midi-Pyrénées
"6 Bedroom Stone House for Sale Dordogne, Bergerac, France","€787,500",Aquitaine
"4 Bedroom Maison De Maitre for Sale Pyrenees-Atlantiques, Arzacq-Arraziguet, France","€850,000",Aquitaine
"4 Bedroom Villa for Sale Gers, Bassoues, France","€679,000",Midi-Pyrénées
"12 Bedroom Manor for Sale Lot-Et-Garonne, Prayssas, France","€690,000",Aquitaine
"3 Bedroom Villa for Sale Haute-Garonne, Beauchalot, France","€185,000",Midi-Pyrénées
Arc 1950 - 607 Savoy Manor - 3 Bed,"€950,000",Rhône-Alpes
4 Room(s) Apartment for Sale in Samoëns,"€455,000",Rhône-Alpes
4 Room(s) Apartment for Sale in la Plagne Tarentaise,"€350,000",Rhône-Alpes
Nan Room(s) House for Sale in Les Orres,"€890,000",Provence-Alpes-Côte d'Azur
6 Room(s) House for Sale in Notre-Dame-du-Cruet,"€200,000",Rhône-Alpes
7 Room(s) Commercial for Sale in Peisey Nancroix,"€565,000",Rhône-Alpes
6 Bed House for Sale in Bessan,"€545,000",Languedoc-Roussillon
5 Bed Villa for Sale in Lespignan,"€499,000",Languedoc-Roussillon
2 Bed House for Sale in Grury,"€65,000",Burgundy
Country House,"€169,000",Languedoc-Roussillon
5 Bed House for Sale in Charolles,"€367,500",Burgundy
Villa with Quiet Pool,"€379,000",Languedoc-Roussillon
Country House,"€39,000",Languedoc-Roussillon
Atypical Villa,"€315,000",Languedoc-Roussillon
Villa De Standing,"€729,000",Languedoc-Roussillon
2 Rooms Balcony to Live,"€261,000",Rhône-Alpes
4 Bedroom House on 650m²,"€336,000",Languedoc-Roussillon
Land for Sale in Puimisson,"€34,000",Languedoc-Roussillon
Ideal 1st Purchase Home!,"€283,000",Languedoc-Roussillon
2 Rented Parts,"€192,600",Provence-Alpes-Côte d'Azur
2 Bed Villa for Sale in Cuttoli-Corticchiato,"€465,000",Corsica
2 Bed House for Sale in Le Val,"€212,000",Provence-Alpes-Côte d'Azur
3 Sea View Rooms,"€395,000",Corsica
Business Bar,"€520,000",Poitou-Charentes
3 Bed Villa for Sale in Sainte-Anastasie-Sur-Issole,"€551,200",Provence-Alpes-Côte d'Azur
4 Bed House for Sale in la Rochelle,"€416,000",Poitou-Charentes
House Cottage,"€146,500",Limousin
5 Bed House for Sale in la Ronde,"€299,000",Poitou-Charentes
3 Bed House for Sale in Aigrefeuille-D'aunis,"€448,334",Poitou-Charentes
2 Rooms 1st Line Right Bank,"€231,000",Languedoc-Roussillon
Equestrian Domain,"€884,000",Poitou-Charentes
4 Bed House for Sale in Boussac,"€167,000",Limousin
